Designator,Mid X,Mid Y,Layer,Rotation
R1,142.562500,-83.650000,Top,180.000000
R2,142.562500,-86.825000,Top,180.000000
R3,142.562500,-90.000000,Top,180.000000
R4,142.562500,-93.175000,Top,180.000000
R5,107.053800,-93.175000,Top,180.000000
R6,107.053800,-90.000000,Top,0.000000
R7,107.053800,-86.825000,Top,180.000000
R8,107.053800,-83.650000,Top,180.000000
R9,135.150000,-83.650000,Top,180.000000
R10,135.150000,-86.825000,Top,180.000000
R11,135.150000,-90.000000,Top,180.000000
R12,135.150000,-93.175000,Top,180.000000
R13,113.912500,-83.650000,Top,0.000000
R14,113.912500,-86.825000,Top,0.000000
R15,113.912500,-90.000000,Top,0.000000
R16,113.912500,-93.175000,Top,0.000000
R17,149.650000,-85.000000,Top,0.000000
R18,149.650000,-88.000000,Top,0.000000
R19,149.650000,-91.000000,Top,0.000000
U2,125.000000,-87.500000,Top,90.000000
